objectid,área,nome,regiao_adm,area_plane,codbairro,codra,codbnum,link,rp,cod_rp,codbairro_long,st_areashape,st_perimetershape
478,1621377.86816406,Vidigal                   ,LAGOA                   ,2,030,6,30,Vidigal                   &area=30                ,Zona Sul,2.1,30,1621382.12182566,7553.35399230811
479,1689691.29736328,Joá                       ,BARRA DA TIJUCA         ,4,126,24,126,Joá                       &area=126               ,Barra da Tijuca,4.2,126,1689695.78892882,8871.3062908418
480,9442030.42529297,Barra de Guaratiba        ,GUARATIBA               ,5,152,26,152,Barra de Guaratiba        &area=152               ,Guaratiba,5.4,152,9442055.27327964,27508.2237497209
481,9598826.27539063,Grumari                   ,BARRA DA TIJUCA         ,4,133,24,133,Grumari                   &area=133               ,Barra da Tijuca,4.2,133,9598851.46177796,23375.3740383181
482,5347480.57666016,Caju                      ,PORTUARIA               ,1,004,1,4,Caju                      &area=4                 ,Centro,1.1,4,5347494.84863504,19800.5225235365
483,4640511.10009766,Deodoro                   ,REALENGO                ,5,134,33,134,Deodoro                   &area=134               ,Bangu,5.1,134,4640523.62527204,12077.6639477973
485,298325.82470703,Lapa,CENTRO,1,161,2,161,Lapa                &area=161,Centro,1.1,161,298326.620332345,3849.18181823597
510,104445147.6875,Campo Grande,CAMPO GRANDE            ,5,144,18,144,Campo Grande                &area=144,Campo Grande,5.2,144,104445426.692944,75083.75196163
511,35966196.7001953,Bangu,BANGU                   ,5,141,17,141,Bangu                &area=141,Bangu,5.1,141,35966293.1776286,46529.035222409
512,2534304.16845703,Gericinó,BANGU                   ,5,160,17,160,Gericinó                &area=160,Bangu,5.1,160,2534311.07394388,8828.55570928851
513,327327.08300781,Jabour,BANGU,5,163,17,163,Jabour            &area=163,Bangu,5.1,163,327327.981015897,2235.74840680834
890,1473737.29589844,Vila Kennedy,BANGU                   ,5,162,17,162,Vila Kennedy                &area=162,Bangu,5.1,162,1473741.30099239,6789.6095794044
894,7714616.09516844,Ilha de Guaratiba,GUARATIBA               ,5,164,26,164,Ilha de Guaratiba                 &area=164      ,Guaratiba,5.4,164,7714636.53610849,13955.1368557257
